    YEAR      WO    WOse      NH    NHse      SH    SHse
2005.500  10.171   0.835   6.004   0.133   4.167   0.807
2006.500  12.638   0.327   6.548   0.348   6.090   0.394
2007.500  12.394   0.434   6.787   0.278   5.607   0.497
2008.500  13.257   0.519   6.987   0.391   6.270   0.159
2009.500  13.431   0.636   6.441   0.062   6.990   0.653
2010.500  14.537   0.527   6.822   0.115   7.715   0.626
2011.500  15.394   0.507   6.156   0.245   9.239   0.365
2012.500  16.187   0.473   6.984   0.216   9.203   0.426
2013.500  18.650   1.059   8.530   0.107  10.120   1.011
2014.500  20.110   0.589   7.743   0.360  12.367   0.454
2015.500  22.401   0.385   8.408   0.362  13.993   0.242
2016.500  20.799   0.832   9.870   0.419  10.929   1.172
2017.500  23.589   0.563  10.936   0.263  12.653   0.591
2018.500  24.059   0.828  10.354   0.429  13.705   0.474
2019.500  25.436   0.287  11.441   0.177  13.996   0.431
2020.500  25.525   0.924  11.740   0.217  13.785   0.761
2021.500  27.280   0.368  12.333   0.277  14.946   0.328
2022.500  28.192   0.250  12.245   0.174  15.947   0.272
2023.500  29.220   0.546  12.166   0.269  17.054   0.609
2024.500  30.316   0.189  13.980   0.321  16.336   0.502
