year,ohc_zj
2005-01-15,8.520549
2005-02-15,10.162555
2005-03-15,9.689036
2005-04-15,8.916094
2005-05-15,11.429535
2005-06-15,11.137574
2005-07-15,10.43296
2005-08-15,9.116734
2005-09-15,12.159878
2005-10-15,13.274349
2005-11-15,12.701668
2005-12-15,13.744327
2006-01-15,11.180849
2006-02-15,12.169756
2006-03-15,12.070793
2006-04-15,12.066676
2006-05-15,13.193215
2006-06-15,15.244023
2006-07-15,12.860933
2006-08-15,11.081134
2006-09-15,12.771712
2006-10-15,13.745169
2006-11-15,14.255112
2006-12-15,15.147673
2007-01-15,13.868542
2007-02-15,13.443377
2007-03-15,13.045898
2007-04-15,10.656427
2007-05-15,11.977052
2007-06-15,13.735917
2007-07-15,13.942971
2007-08-15,10.358621
2007-09-15,11.646537
2007-10-15,12.399255
2007-11-15,15.306749
2007-12-15,14.321214
2008-01-15,13.028717
2008-02-15,13.002364
2008-03-15,13.931546
2008-04-15,13.363381
2008-05-15,14.10704
2008-06-15,14.125691
2008-07-15,13.123981
2008-08-15,12.776558
2008-09-15,13.324909
2008-10-15,12.711643
2008-11-15,12.45329
2008-12-15,13.828548
2009-01-15,13.612573
2009-02-15,15.410805
2009-03-15,14.640668
2009-04-15,11.86778
2009-05-15,13.162536
2009-06-15,12.593975
2009-07-15,11.154401
2009-08-15,10.119848
2009-09-15,14.393637
2009-10-15,15.430263
2009-11-15,14.937077
2009-12-15,16.56464
2010-01-15,13.767159
2010-02-15,13.954474
2010-03-15,14.991473
2010-04-15,12.368989
2010-05-15,10.684028
2010-06-15,13.2915
2010-07-15,13.446659
2010-08-15,11.327843
2010-09-15,13.434708
2010-10-15,13.845075
2010-11-15,15.224765
2010-12-15,14.727099
2011-01-15,15.262821
2011-02-15,16.056347
2011-03-15,15.246212
2011-04-15,14.698331
2011-05-15,16.192272
2011-06-15,12.382379
2011-07-15,15.260068
2011-08-15,15.32386
2011-09-15,16.487146
2011-10-15,15.077184
2011-11-15,14.208598
2011-12-15,17.44343
2012-01-15,16.4266
2012-02-15,18.074652
2012-03-15,17.289766
2012-04-15,15.269282
2012-05-15,13.973036
2012-06-15,13.208759
2012-07-15,13.845653
2012-08-15,12.814137
2012-09-15,14.585432
2012-10-15,17.03354
2012-11-15,17.003181
2012-12-15,15.492616
2013-01-15,18.255077
2013-02-15,20.545443
2013-03-15,19.687702
2013-04-15,15.648695
2013-05-15,16.915556
2013-06-15,15.727138
2013-07-15,15.127299
2013-08-15,14.991578
2013-09-15,16.972416
2013-10-15,18.435839
2013-11-15,19.252289
2013-12-15,19.69625
2014-01-15,18.480995
2014-02-15,19.748316
2014-03-15,18.962797
2014-04-15,16.911015
2014-05-15,17.323256
2014-06-15,19.544016
2014-07-15,17.467545
2014-08-15,17.520796
2014-09-15,17.506933
2014-10-15,18.181509
2014-11-15,18.522825
2014-12-15,20.207624
2015-01-15,20.456018
2015-02-15,21.353382
2015-03-15,21.273285
2015-04-15,20.916912
2015-05-15,20.589825
2015-06-15,18.57493
2015-07-15,19.605026
2015-08-15,19.937601
2015-09-15,19.768995
2015-10-15,18.603746
2015-11-15,19.92756
2015-12-15,20.204773
2016-01-15,20.772736
2016-02-15,20.62757
2016-03-15,20.948439
2016-04-15,17.40496
2016-05-15,18.144024
2016-06-15,18.492626
2016-07-15,17.259014
2016-08-15,15.7871
